[HIGHEST OVERHEAD]: SALARY EXPENSE: 33.22%
[CASH DEFICIT]Day: 1, Amount: USD12600
[CASH DEFICIT]Day: 2, Amount: USD267360
[CASH DEFICIT]Day: 3, Amount: USD2111875
[CASH DEFICIT]Day: 4, Amount: USD922642
[CASH DEFICIT]Day: 7, Amount: USD141603
[CASH DEFICIT]Day: 12, Amount: USD405162
[CASH DEFICIT]Day: 16, Amount: USD236565
[CASH DEFICIT]Day: 20, Amount: USD134515
[CASH DEFICIT]Day: 22, Amount: USD386516
[CASH DEFICIT]Day: 26, Amount: USD567587
[CASH DEFICIT]Day: 27, Amount: USD190790
[CASH DEFICIT]Day: 30, Amount: USD143109
[CASH DEFICIT]Day: 31, Amount: USD612262
[CASH DEFICIT]Day: 36, Amount: USD617102
[CASH DEFICIT]Day: 41, Amount: USD282552
[CASH DEFICIT]Day: 44, Amount: USD1128060
[CASH DEFICIT]Day: 45, Amount: USD151041
[CASH DEFICIT]Day: 48, Amount: USD23142
[CASH DEFICIT]Day: 51, Amount: USD3644085
[CASH DEFICIT]Day: 52, Amount: USD868938
[CASH DEFICIT]Day: 54, Amount: USD1473725
[CASH DEFICIT]Day: 58, Amount: USD1344292
[CASH DEFICIT]Day: 68, Amount: USD188386
[CASH DEFICIT]Day: 77, Amount: USD119487
[CASH DEFICIT]Day: 81, Amount: USD8160177
[CASH DEFICIT]Day: 84, Amount: USD233762
[CASH DEFICIT]Day: 85, Amount: USD4733719
[CASH DEFICIT]Day: 88, Amount: USD1186620
[PROFIT DEFICIT] Day: 1, Amount: USD 12600
[PROFIT DEFICIT] Day: 2, Amount: USD 267360
[PROFIT DEFICIT] Day: 3, Amount: USD 326875
[PROFIT DEFICIT] Day: 4, Amount: USD 37130
[PROFIT DEFICIT] Day: 5, Amount: USD 41370
[PROFIT DEFICIT] Day: 6, Amount: USD 36189
[PROFIT DEFICIT] Day: 7, Amount: USD 34361
[PROFIT DEFICIT] Day: 8, Amount: USD 31612
[PROFIT DEFICIT] Day: 9, Amount: USD 24683
[PROFIT DEFICIT] Day: 15, Amount: USD 4679
[PROFIT DEFICIT] Day: 18, Amount: USD 15466
[PROFIT DEFICIT] Day: 64, Amount: USD 20145
[PROFIT DEFICIT] Day: 83, Amount: USD 877648
[PROFIT DEFICIT] Day: 85, Amount: USD 235494
[PROFIT DEFICIT] Day: 87, Amount: USD 709616
[PROFIT DEFICIT] Day: 89, Amount: USD 35656
[PROFIT DEFICIT] Day: 90, Amount: USD 304565
